CONSTITUENCY,STATE,POSTFIX_CODE
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,1
AMALAPURAM,ANDHRA PRADESH,7
ANAKAPALLE,ANDHRA PRADESH,5
ANANTAPUR,ANDHRA PRADESH,19
ARAKU,ANDHRA PRADESH,1
BAPATLA,ANDHRA PRADESH,15
CHITTOOR,ANDHRA PRADESH,25
ELURU,ANDHRA PRADESH,10
GUNTUR,ANDHRA PRADESH,13
HINDUPUR,ANDHRA PRADESH,20
KADAPA,ANDHRA PRADESH,21
KAKINADA,ANDHRA PRADESH,6
KURNOOL,ANDHRA PRADESH,18
MACHILIPATNAM,ANDHRA PRADESH,11
NANDYAL,ANDHRA PRADESH,17
NARASARAOPET,ANDHRA PRADESH,14
NARSAPURAM,ANDHRA PRADESH,9
NELLORE,ANDHRA PRADESH,22
ONGOLE,ANDHRA PRADESH,16
RAJAHMUNDRY,ANDHRA PRADESH,8
RAJAMPET,ANDHRA PRADESH,24
SRIKAKULAM,ANDHRA PRADESH,2
TIRUPATI,ANDHRA PRADESH,23
VIJAYAWADA,ANDHRA PRADESH,12
VISAKHAPATNAM,ANDHRA PRADESH,4
VIZIANAGARAM,ANDHRA PRADESH,3
ARUNACHAL EAST,ARUNACHAL PRADESH,2
ARUNACHAL WEST,ARUNACHAL PRADESH,1
AUTONOMOUS DISTRICT,ASSAM,3
BARPETA,ASSAM,6
DHUBRI,ASSAM,4
DIBRUGARH,ASSAM,13
GAUHATI,ASSAM,7
JORHAT,ASSAM,12
KALIABOR,ASSAM,11
KARIMGANJ,ASSAM,1
KOKRAJHAR,ASSAM,5
LAKHIMPUR,ASSAM,14
MANGALDOI,ASSAM,8
NAWGONG,ASSAM,10
SILCHAR,ASSAM,2
TEZPUR,ASSAM,9
ARARIA,BIHAR,9
ARRAH,BIHAR,32
AURANGABAD,BIHAR,37
BANKA,BIHAR,27
BEGUSARAI,BIHAR,24
BHAGALPUR,BIHAR,26
BUXAR,BIHAR,33
DARBHANGA,BIHAR,14
GAYA,BIHAR,38
GOPALGANJ,BIHAR,17
HAJIPUR,BIHAR,21
JAHANABAD,BIHAR,36
JAMUI,BIHAR,40
JHANJHARPUR,BIHAR,7
KARAKAT,BIHAR,35
KATIHAR,BIHAR,11
KHAGARIA,BIHAR,25
KISHANGANJ,BIHAR,10
MADHEPURA,BIHAR,13
MADHUBANI,BIHAR,6
MAHARAJGANJ,BIHAR,19
MUNGER,BIHAR,28
MUZAFFARPUR,BIHAR,15
NALANDA,BIHAR,29
NAWADA,BIHAR,39
PASCHIM CHAMPARAN,BIHAR,2
PATALIPUTRA,BIHAR,31
PATNA SAHIB,BIHAR,30
PURNIA,BIHAR,12
PURVI CHAMPARAN,BIHAR,3
SAMASTIPUR,BIHAR,23
SARAN,BIHAR,20
SASARAM,BIHAR,34
SHEOHAR,BIHAR,4
SITAMARHI,BIHAR,5
SIWAN,BIHAR,18
SUPAUL,BIHAR,9
UJIARPUR,BIHAR,22
VAISHALI,BIHAR,16
VALMIKI NAGAR,BIHAR,1
CHANDIGARH,CHANDIGARH,1
BASTAR,CHHATTISGARH,10
BILASPUR,CHHATTISGARH,5
DURG,CHHATTISGARH,7
JANJGIR CHAMPA,CHHATTISGARH,3
KANKER,CHHATTISGARH,11
KORBA,CHHATTISGARH,4
MAHASAMUND,CHHATTISGARH,9
RAIGARH,CHHATTISGARH,2
RAIPUR,CHHATTISGARH,8
RAJNANDGAON,CHHATTISGARH,6
SURGUJA,CHHATTISGARH,1
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,1
DAMAN AND DIU,DAMAN AND DIU,1
NORTH GOA,GOA,1
SOUTH GOA,GOA,2
AHMEDABAD EAST,GUJARAT,7
AHMEDABAD WEST,GUJARAT,8
AMRELI,GUJARAT,14
ANAND,GUJARAT,16
BANASKANTHA,GUJARAT,2
BARDOLI,GUJARAT,23
BHARUCH,GUJARAT,22
BHAVNAGAR,GUJARAT,15
CHHOTA UDAIPUR,GUJARAT,21
DAHOD,GUJARAT,19
GANDHINAGAR,GUJARAT,6
JAMNAGAR,GUJARAT,12
JUNAGADH,GUJARAT,13
KACHCHH,GUJARAT,1
KHEDA,GUJARAT,17
MAHESANA,GUJARAT,4
NAVSARI,GUJARAT,25
PANCHMAHAL,GUJARAT,18
PATAN,GUJARAT,3
PORBANDAR,GUJARAT,11
RAJKOT,GUJARAT,10
SABARKANTHA,GUJARAT,5
SURAT,GUJARAT,24
SURENDRANAGAR,GUJARAT,9
VADODARA,GUJARAT,20
VALSAD,GUJARAT,26
AMBALA,HARYANA,1
BHIWANI MAHENDRAGARH,HARYANA,8
FARIDABAD,HARYANA,10
GURGAON,HARYANA,9
HISAR,HARYANA,4
KARNAL,HARYANA,5
KURUKSETRA,HARYANA,2
KURUKSHETRA,HARYANA,2
ROHTAK,HARYANA,7
SIRSA,HARYANA,3
SONIPAT,HARYANA,6
HAMIRPUR,HIMACHAL PRADESH,3
KANGRA,HIMACHAL PRADESH,1
MANDI,HIMACHAL PRADESH,2
SHIMLA,HIMACHAL PRADESH,4
ANANTNAG,JAMMU AND KASHMIR,3
BARAMULLA,JAMMU AND KASHMIR,1
JAMMU,JAMMU AND KASHMIR,6
LADAKH,JAMMU AND KASHMIR,4
SRINAGAR,JAMMU AND KASHMIR,2
UDHAMPUR,JAMMU AND KASHMIR,5
CHATRA,JHARKHAND,4
DHANBAD,JHARKHAND,7
DUMKA,JHARKHAND,2
GIRIDIH,JHARKHAND,6
GODDA,JHARKHAND,3
HAZARIBAGH,JHARKHAND,14
JAMSHEDPUR,JHARKHAND,9
KHUNTI,JHARKHAND,11
KODARMA,JHARKHAND,5
LOHARDAGA,JHARKHAND,12
PALAMU,JHARKHAND,13
RAJMAHAL,JHARKHAND,1
RANCHI,JHARKHAND,8
SINGHBHUM,JHARKHAND,10
BAGALKOT,KARNATAKA,3
BANGALORE CENTRAL,KARNATAKA,25
BANGALORE NORTH,KARNATAKA,24
BANGALORE RURAL,KARNATAKA,23
BANGALORE SOUTH,KARNATAKA,26
BELGAUM,KARNATAKA,2
BELLARY,KARNATAKA,9
BIDAR,KARNATAKA,7
BIJAPUR,KARNATAKA,4
CHAMARAJANAGAR,KARNATAKA,22
CHIKKBALLAPUR,KARNATAKA,27
CHIKKODI,KARNATAKA,1
CHITRADURGA,KARNATAKA,18
DAKSHINA KANNADA,KARNATAKA,17
DAVANAGERE,KARNATAKA,13
DHARWAD,KARNATAKA,11
GULBARGA,KARNATAKA,5
HASSAN,KARNATAKA,16
HAVERI,KARNATAKA,10
KOLAR,KARNATAKA,28
KOPPAL,KARNATAKA,8
MANDYA,KARNATAKA,20
MYSORE,KARNATAKA,21
RAICHUR,KARNATAKA,6
SHIMOGA,KARNATAKA,14
TUMKUR,KARNATAKA,19
UDUPI CHIKMAGALUR,KARNATAKA,15
UTTARA KANNADA,KARNATAKA,12
ALAPPUZHA,KERALA,15
ALATHUR,KERALA,9
ATTINGAL,KERALA,19
CHALAKUDY,KERALA,11
ERNAKULAM,KERALA,12
IDUKKI,KERALA,13
KANNUR,KERALA,2
KASARAGOD,KERALA,1
KOLLAM,KERALA,18
KOTTAYAM,KERALA,14
KOZHIKODE,KERALA,5
MALAPPURAM,KERALA,6
MAVELIKKARA,KERALA,16
PALAKKAD,KERALA,8
PATHANAMTHITTA,KERALA,17
PONNANI,KERALA,7
THIRUVANANTHAPURAM,KERALA,20
THRISSUR,KERALA,10
VADAKARA,KERALA,3
WAYANAD,KERALA,4
LAKSHADWEEP,LAKSHADWEEP,1
BALAGHAT,MADHYA PRADESH,15
BETUL,MADHYA PRADESH,29
BHIND,MADHYA PRADESH,2
BHOPAL,MADHYA PRADESH,19
CHHINDWARA,MADHYA PRADESH,16
DAMOH,MADHYA PRADESH,7
DEWAS,MADHYA PRADESH,21
DHAR,MADHYA PRADESH,25
GUNA,MADHYA PRADESH,4
GWALIOR,MADHYA PRADESH,3
HOSHANGABAD,MADHYA PRADESH,17
INDORE,MADHYA PRADESH,26
JABALPUR,MADHYA PRADESH,13
KHAJURAHO,MADHYA PRADESH,8
KHANDWA,MADHYA PRADESH,28
KHARGONE,MADHYA PRADESH,27
MANDLA,MADHYA PRADESH,14
MANDSOUR,MADHYA PRADESH,23
MORENA,MADHYA PRADESH,1
RAJGARH,MADHYA PRADESH,20
RATLAM,MADHYA PRADESH,24
REWA,MADHYA PRADESH,10
SAGAR,MADHYA PRADESH,5
SATNA,MADHYA PRADESH,9
SHAHDOL,MADHYA PRADESH,12
SIDHI,MADHYA PRADESH,11
TIKAMGARH,MADHYA PRADESH,6
UJJAIN,MADHYA PRADESH,22
VIDISHA,MADHYA PRADESH,18
AHMEDNAGAR,MAHARASHTRA,37
AKOLA,MAHARASHTRA,6
AMRAVATI,MAHARASHTRA,7
AURANGABAD,MAHARASHTRA,19
BARAMATI,MAHARASHTRA,35
BEED,MAHARASHTRA,39
BHANDARA GONDIYA,MAHARASHTRA,11
BHIWANDI,MAHARASHTRA,23
BULDHANA,MAHARASHTRA,5
CHANDRAPUR,MAHARASHTRA,13
DHULE,MAHARASHTRA,2
DINDORI,MAHARASHTRA,20
GADCHIROLI CHIMUR,MAHARASHTRA,12
HATKANANGLE,MAHARASHTRA,48
HINGOLI,MAHARASHTRA,15
JALGAON,MAHARASHTRA,3
JALNA,MAHARASHTRA,18
KALYAN,MAHARASHTRA,24
KOLHAPUR,MAHARASHTRA,47
LATUR,MAHARASHTRA,41
MADHA,MAHARASHTRA,43
MAVAL,MAHARASHTRA,33
MUMBAI NORTH,MAHARASHTRA,26
MUMBAI NORTH CENTRAL,MAHARASHTRA,29
MUMBAI NORTH EAST,MAHARASHTRA,28
MUMBAI NORTH WEST,MAHARASHTRA,27
MUMBAI SOUTH,MAHARASHTRA,31
MUMBAI SOUTH CENTRAL,MAHARASHTRA,30
NAGPUR,MAHARASHTRA,10
NANDED,MAHARASHTRA,16
NANDURBAR,MAHARASHTRA,1
NASHIK,MAHARASHTRA,21
OSMANABAD,MAHARASHTRA,40
PALGHAR,MAHARASHTRA,22
PARBHANI,MAHARASHTRA,17
PUNE,MAHARASHTRA,34
RAIGAD,MAHARASHTRA,32
RAMTEK,MAHARASHTRA,9
RATNAGIRI SINDHUDURG,MAHARASHTRA,46
RAVER,MAHARASHTRA,4
SANGLI,MAHARASHTRA,44
SATARA,MAHARASHTRA,45
SHIRDI,MAHARASHTRA,38
SHIRUR,MAHARASHTRA,36
SOLAPUR,MAHARASHTRA,42
THANE,MAHARASHTRA,25
WARDHA,MAHARASHTRA,8
YAVATMAL WASHIM,MAHARASHTRA,14
INNER MANIPUR,MANIPUR,1
OUTER MANIPUR,MANIPUR,1
SHILLONG,MEGHALAYA,1
TURA,MEGHALAYA,2
MIZORAM,MIZORAM,1
NAGALAND,NAGALAND,1
CHANDNI CHOWK,NATIONAL CAPITAL TERRITORY OF DELHI,1
EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,3
NEW DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,4
NORTH EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,2
NORTH WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,5
SOUTH DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,7
WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,6
ASKA,ODISHA,19
BALASORE,ODISHA,6
BARGARH,ODISHA,1
BERHAMPUR,ODISHA,20
BHADRAK,ODISHA,7
BHUBANESWAR,ODISHA,18
BOLANGIR,ODISHA,10
CUTTACK,ODISHA,14
DHENKANAL,ODISHA,9
JAGATSINGHPUR,ODISHA,16
JAJPUR,ODISHA,8
KALAHANDI,ODISHA,11
KANDHAMAL,ODISHA,13
KENDRAPARA,ODISHA,15
KEONJHAR,ODISHA,4
KORAPUT,ODISHA,21
MAYURBHANJ,ODISHA,5
NABARANGPUR,ODISHA,12
PURI,ODISHA,17
SAMBALPUR,ODISHA,3
SUNDARGARH,ODISHA,2
PUDUCHERRY,PUDUCHERRY,1
AMRITSAR,PUNJAB,2
ANANDPUR SAHIB,PUNJAB,6
BATHINDA,PUNJAB,11
FARIDKOT,PUNJAB,9
FATEHGARH SAHIB,PUNJAB,8
FIROZPUR,PUNJAB,10
GURDASPUR,PUNJAB,1
HOSHIARPUR,PUNJAB,5
JALANDHAR,PUNJAB,4
KHADOOR SAHIB,PUNJAB,3
LUDHIANA,PUNJAB,7
PATIALA,PUNJAB,13
SANGRUR,PUNJAB,12
SANGRUR,PUNJAB,12
AJMER,RAJASTHAN,13
ALWAR,RAJASTHAN,8
BANSWARA,RAJASTHAN,20
BARMER,RAJASTHAN,17
BHARATPUR,RAJASTHAN,9
BHILWARA,RAJASTHAN,23
BIKANER,RAJASTHAN,2
CHITTORGARH,RAJASTHAN,21
CHURU,RAJASTHAN,3
DAUSA,RAJASTHAN,11
GANGANAGAR,RAJASTHAN,1
JAIPUR,RAJASTHAN,7
JAIPUR RURAL,RAJASTHAN,6
JALORE,RAJASTHAN,18
JHALAWAR BARAN,RAJASTHAN,25
JHUNJHUNU,RAJASTHAN,4
JODHPUR,RAJASTHAN,16
KARAULI DHOLPUR,RAJASTHAN,10
KOTA,RAJASTHAN,24
NAGAUR,RAJASTHAN,14
PALI,RAJASTHAN,15
RAJSAMAND,RAJASTHAN,22
SIKAR,RAJASTHAN,5
TONK SAWAI MADHOPUR,RAJASTHAN,12
UDAIPUR,RAJASTHAN,19
SIKKIM,SIKKIM,1
ARAKKONAM,TAMIL NADU,7
ARANI,TAMIL NADU,12
CHENNAI CENTRAL,TAMIL NADU,4
CHENNAI NORTH,TAMIL NADU,2
CHENNAI SOUTH,TAMIL NADU,3
CHIDAMBARAM,TAMIL NADU,27
COIMBATORE,TAMIL NADU,20
CUDDALORE,TAMIL NADU,26
DHARMAPURI,TAMIL NADU,10
DINDIGUL,TAMIL NADU,22
ERODE,TAMIL NADU,17
KALLAKURICHI,TAMIL NADU,14
KANCHEEPURAM,TAMIL NADU,6
KANNIYAKUMARI,TAMIL NADU,39
KARUR,TAMIL NADU,23
KRISHNAGIRI,TAMIL NADU,9
MADURAI,TAMIL NADU,32
MAYILADUTHURAI,TAMIL NADU,28
NAGAPATTINAM,TAMIL NADU,29
NAMAKKAL,TAMIL NADU,16
NILGIRIS,TAMIL NADU,19
PERAMBALUR,TAMIL NADU,25
POLLACHI,TAMIL NADU,21
RAMANATHAPURAM,TAMIL NADU,35
SALEM,TAMIL NADU,15
SIVAGANGA,TAMIL NADU,31
SRIPERUMBUDUR,TAMIL NADU,5
TENKASI,TAMIL NADU,37
THANJAVUR,TAMIL NADU,30
THENI,TAMIL NADU,33
THOOTHUKKUDI,TAMIL NADU,36
TIRUCHIRAPPALLI,TAMIL NADU,24
TIRUNELVELI,TAMIL NADU,38
TIRUPPUR,TAMIL NADU,18
TIRUVALLUR,TAMIL NADU,1
TIRUVANNAMALAI,TAMIL NADU,11
VELLORE,TAMIL NADU,8
VILUPPURAM,TAMIL NADU,13
VIRUDHUNAGAR,TAMIL NADU,34
ADILABAD,TELANGANA,1
BHONGIR,TELANGANA,14
CHEVELLA,TELANGANA,10
HYDERABAD,TELANGANA,9
KARIMNAGAR,TELANGANA,3
KHAMMAM,TELANGANA,17
MAHABUBABAD,TELANGANA,16
MAHBUBNAGAR,TELANGANA,11
MALKAJGIRI,TELANGANA,7
MEDAK,TELANGANA,6
NAGARKURNOOL,TELANGANA,12
NALGONDA,TELANGANA,13
NIZAMABAD,TELANGANA,4
PEDDAPALLE,TELANGANA,2
SECUNDERABAD,TELANGANA,8
WARANGAL,TELANGANA,15
ZAHIRABAD,TELANGANA,5
TRIPURA EAST,TRIPURA,2
TRIPURA WEST,TRIPURA,1
AGRA,UTTAR PRADESH,18
AKBARPUR,UTTAR PRADESH,44
ALIGARH,UTTAR PRADESH,15
ALLAHABAD,UTTAR PRADESH,52
AMBEDKAR NAGAR,UTTAR PRADESH,55
AMETHI,UTTAR PRADESH,37
AMROHA,UTTAR PRADESH,9
AONLA,UTTAR PRADESH,24
AZAMGARH,UTTAR PRADESH,69
BADAUN,UTTAR PRADESH,23
BAGHPAT,UTTAR PRADESH,11
BAHRAICH,UTTAR PRADESH,56
BALLIA,UTTAR PRADESH,72
BANDA,UTTAR PRADESH,48
BANSGAON,UTTAR PRADESH,67
BARABANKI,UTTAR PRADESH,53
BAREILLY,UTTAR PRADESH,25
BASTI,UTTAR PRADESH,61
BHADOHI,UTTAR PRADESH,78
BIJNOR,UTTAR PRADESH,4
BULANDSHAHR,UTTAR PRADESH,14
CHANDAULI,UTTAR PRADESH,76
DEORIA,UTTAR PRADESH,66
DHAURAHRA,UTTAR PRADESH,29
DOMARIYAGANJ,UTTAR PRADESH,60
ETAH,UTTAR PRADESH,22
ETAWAH,UTTAR PRADESH,41
FAIZABAD,UTTAR PRADESH,54
FARRUKHABAD,UTTAR PRADESH,40
FATEHPUR,UTTAR PRADESH,49
FATEHPUR SIKRI,UTTAR PRADESH,19
FIROZABAD,UTTAR PRADESH,20
GAUTAM BUDDHA NAGAR,UTTAR PRADESH,13
GHAZIABAD,UTTAR PRADESH,12
GHAZIPUR,UTTAR PRADESH,75
GHOSI,UTTAR PRADESH,70
GONDA,UTTAR PRADESH,59
GORAKHPUR,UTTAR PRADESH,64
HAMIRPUR,UTTAR PRADESH,47
HARDOI,UTTAR PRADESH,31
HATHRAS,UTTAR PRADESH,16
JALAUN,UTTAR PRADESH,45
JAUNPUR,UTTAR PRADESH,73
JHANSI,UTTAR PRADESH,46
KAIRANA,UTTAR PRADESH,2
KAISERGANJ,UTTAR PRADESH,57
KANNAUJ,UTTAR PRADESH,42
KANPUR,UTTAR PRADESH,43
KAUSHAMBI,UTTAR PRADESH,50
KHERI,UTTAR PRADESH,28
KUSHI NAGAR,UTTAR PRADESH,65
LALGANJ,UTTAR PRADESH,68
LUCKNOW,UTTAR PRADESH,35
MACHHLISHAHR,UTTAR PRADESH,74
MAINPURI,UTTAR PRADESH,21
MATHURA,UTTAR PRADESH,17
MEERUT,UTTAR PRADESH,10
MIRZAPUR,UTTAR PRADESH,79
MISRIKH,UTTAR PRADESH,32
MOHANLALGANJ,UTTAR PRADESH,34
MORADABAD,UTTAR PRADESH,6
MUZAFFARNAGAR,UTTAR PRADESH,3
NAGINA,UTTAR PRADESH,5
PHULPUR,UTTAR PRADESH,51
PILIBHIT,UTTAR PRADESH,26
PRATAPGARH,UTTAR PRADESH,39
RAE BARELI,UTTAR PRADESH,36
RAMPUR,UTTAR PRADESH,7
ROBERTSGANJ,UTTAR PRADESH,80
SAHARANPUR,UTTAR PRADESH,1
SALEMPUR,UTTAR PRADESH,71
SAMBHAL,UTTAR PRADESH,8
SANT KABIR NAGAR,UTTAR PRADESH,62
SHAHJAHANPUR,UTTAR PRADESH,27
SHRAWASTI,UTTAR PRADESH,58
SITAPUR,UTTAR PRADESH,30
SULTANPUR,UTTAR PRADESH,38
UNNAO,UTTAR PRADESH,33
VARANASI,UTTAR PRADESH,77
ALMORA,UTTARAKHAND,3
GARHWAL,UTTARAKHAND,2
HARIDWAR,UTTARAKHAND,5
NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND,4
TEHRI GARHWAL,UTTARAKHAND,1
ALIPURDUARS,WEST BENGAL,2
ARAMBAG,WEST BENGAL,29
ASANSOL,WEST BENGAL,40
BAHARAMPUR,WEST BENGAL,10
BALURGHAT,WEST BENGAL,6
BANGAON,WEST BENGAL,14
BANKURA,WEST BENGAL,36
BARASAT,WEST BENGAL,17
BARDHAMAN DURGAPUR,WEST BENGAL,39
BARDHAMAN PURBA,WEST BENGAL,38
BARRACKPUR,WEST BENGAL,15
BASIRHAT,WEST BENGAL,18
BIRBHUM,WEST BENGAL,42
BISHNUPUR,WEST BENGAL,37
BOLPUR,WEST BENGAL,41
COOCH BEHAR,WEST BENGAL,1
DARJEELING,WEST BENGAL,4
DIAMOND HARBOUR,WEST BENGAL,21
DUM DUM,WEST BENGAL,16
GHATAL,WEST BENGAL,32
HOOGHLY,WEST BENGAL,28
HOWRAH,WEST BENGAL,25
JADAVPUR,WEST BENGAL,22
JALPAIGURI,WEST BENGAL,3
JANGIPUR,WEST BENGAL,9
JAYNAGAR,WEST BENGAL,19
JHARGRAM,WEST BENGAL,33
KANTHI,WEST BENGAL,31
KOLKATA DAKSHIN,WEST BENGAL,23
KOLKATA UTTAR,WEST BENGAL,24
KRISHNANAGAR,WEST BENGAL,12
MALDAHA DAKSHIN,WEST BENGAL,8
MALDAHA UTTAR,WEST BENGAL,7
MATHURAPUR,WEST BENGAL,20
MEDINIPUR,WEST BENGAL,34
MURSHIDABAD,WEST BENGAL,11
PURULIA,WEST BENGAL,35
RAIGANJ,WEST BENGAL,5
RANAGHAT,WEST BENGAL,13
SREERAMPUR,WEST BENGAL,27
TAMLUK,WEST BENGAL,30
ULUBERIA,WEST BENGAL,26
