Party,Candidate,Votes,Year
INC,Sanjay Gandhi,186990,1980
INC,Rajiv Gandhi,365041,1984
INC,Rajiv Gandhi,271407,1989
INC,Rajiv Gandhi,187138,1991
BJP,Ravindra Pratap,75053,1991
INC,Satish Sharma,157868,1996
BJP,Raja Mohan Singh,117725,1996
INC,Satish Sharma,181755,1998
BJP,Dr. Sanjay Sinha,205025,1998
INC,Sonia Gandhi,418960,1999
BJP,Dr. Sanjay Sinha,118948,1999
INC,Rahul Gandhi,390179,2004
BJP,Ram Vilas Vedanti,55438,2004
INC,Rahul Gandhi,464195,2009
BJP,Pradeep Kumar Singh,37570,2009
INC,Rahul Gandhi,408651,2014
BJP,Smriti Irani,300748,2014
INC,Rahul Gandhi,413394,2019
BJP,Smriti Irani,468514,2019